nb,vertices,support
144,"[190166, 190629, 246171, 254723, 670716]",87
726,"[190166, 190824, 190624, 246171, 670716]",87
716,"[190166, 190824, 246171, 190624, 191040]",87
717,"[190166, 190824, 670716]",87
718,"[190166, 190824, 670716, 1059712]",87
68,"[190166, 246171, 190624, 670716, 1059712]",87
67,"[190166, 246171, 190624, 670716]",87
721,"[190166, 190824, 190624, 271009]",87
722,"[190166, 190824, 190624, 271009, 670716]",87
723,"[190166, 190824, 190624, 271009, 1059712]",87
66,"[190166, 246171, 190624, 271009, 1059712]",87
725,"[190166, 190824, 190624, 246171, 271009]",87
728,"[190166, 190824, 190624, 246171, 254723]",87
65,"[190166, 246171, 190624, 271009, 670716]",87
714,"[190166, 190824, 246171, 190624, 271009]",87
729,"[190166, 190824, 190624, 246171, 190629]",87
730,"[190166, 190824, 190624, 670716]",87
731,"[190166, 190824, 190624, 670716, 1059712]",87
64,"[190166, 246171, 190624, 271009]",87
733,"[190166, 190824, 190624, 271009]",87
734,"[190166, 190824, 190624, 271009]",87
735,"[190166, 190824, 190624, 271009, 246171]",87
736,"[190166, 190824, 190624, 271009, 670716]",87
715,"[190166, 190824, 246171, 190624, 190629]",87
713,"[190166, 190824, 246171, 190624, 254723]",87
738,"[190166, 190824, 190624, 246171]",87
712,"[190166, 190824, 246171, 190624, 1059712]",87
689,"[190166, 190824, 271009, 190624]",87
690,"[190166, 190824, 271009, 190624, 670716]",87
691,"[190166, 190824, 271009, 190624, 1059712]",87
692,"[190166, 190824, 271009, 190624, 246171]",87
693,"[190166, 190824, 271009, 190624, 190629]",87
694,"[190166, 190824, 271009, 190624, 191040]",87
70,"[190166, 246171, 190624, 254723]",87
696,"[190166, 190824, 246171, 271009]",87
697,"[190166, 190824, 246171, 271009, 670716]",87
698,"[190166, 190824, 246171, 271009, 1059712]",87
699,"[190166, 190824, 246171, 271009, 190624]",87
700,"[190166, 190824, 246171, 670716]",87
701,"[190166, 190824, 246171, 670716, 1059712]",87
69,"[190166, 246171, 190624, 1059712]",87
703,"[190166, 190824, 246171, 254723]",87
704,"[190166, 190824, 246171, 254723, 271009]",87
705,"[190166, 190824, 246171, 254723, 670716]",87
706,"[190166, 190824, 246171, 254723, 1059712]",87
707,"[190166, 190824, 246171, 190629]",87
708,"[190166, 190824, 246171, 190629, 1059712]",87
709,"[190166, 190824, 246171, 190624]",87
710,"[190166, 190824, 246171, 190624, 271009]",87
711,"[190166, 190824, 246171, 190624, 670716]",87
737,"[190166, 190824, 190624, 271009, 1059712]",87
739,"[190166, 190824, 190624, 246171]",87
687,"[190166, 190824, 271009, 670716, 1059712]",87
766,"[190162, 190166, 190624, 246171, 254723]",87
768,"[190162, 190166, 190624, 190629, 271009]",87
769,"[190162, 190166, 190624, 190629, 246171]",87
770,"[190162, 190166, 190624, 190629, 191040]",87
771,"[190162, 190166, 190624, 190629, 190824]",87
772,"[190162, 190166, 190624, 191040]",87
773,"[190162, 190166, 190624, 191040, 271009]",87
774,"[190162, 190166, 190624, 191040, 246171]",87
59,"[190166, 246171, 254723, 670716, 1059712]",87
776,"[190162, 190166, 190624, 190824, 271009]",87
